# Experimental block
# Ligand, expt_DDG, expt_dDDG
lig_1,-8.56,0.00
lig_2,-9.08,0.00
lig_3,-9.85,0.00
lig_4,-9.39,0.00
lig_5,-10.91,0.00
lig_6,-9.64,0.00
lig_7,-10.37,0.00
lig_8,-9.35,0.00
lig_9,-10.17,0.00

# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_4-99,lig_1-1,-2.02,0,0.01
lig_4-99,lig_10046-1,-4.50,0,0.01
lig_4-99,lig_10084-1,-3.93,0,0.01
lig_4-99,lig_10092-6,-0.37,0,0.01
lig_4-99,lig_10092-8,0.67,0,0.01
lig_4-99,lig_10106-2,-2.35,0,0.01
lig_4-99,lig_10106-3,0.42,0,0.01
lig_4-99,lig_10106-8,-5.54,0,0.01
lig_4-99,lig_10117-1,-5.75,0,0.01
lig_4-99,lig_10134-1,-1.21,0,0.01
lig_4-99,lig_10134-2,-0.79,0,0.01
lig_4-99,lig_10139-1,-2.64,0,0.01
lig_4-99,lig_10186-2,-1.23,0,0.01
lig_4-99,lig_10202-1,-3.40,0,0.01
lig_4-99,lig_10202-2,-3.85,0,0.01
lig_4-99,lig_10204-1,-3.28,0,0.01
lig_4-99,lig_10205-1,-2.18,0,0.01
lig_4-99,lig_10205-2,-1.26,0,0.01
lig_4-99,lig_10213-1,-2.43,0,0.01
lig_4-99,lig_10253-1,-2.21,0,0.01
lig_4-99,lig_10275-12,-0.09,0,0.01
lig_4-99,lig_10275-13,3.36,0,0.01
lig_4-99,lig_10275-16,-0.39,0,0.01
lig_4-99,lig_10275-2,-0.53,0,0.01
lig_4-99,lig_10275-4,2.52,0,0.01
lig_4-99,lig_10275-5,0.99,0,0.01
lig_4-99,lig_10275-8,-2.38,0,0.01
lig_4-99,lig_10275-9,-0.72,0,0.01
lig_4-99,lig_10316-1,0.45,0,0.01
lig_4-99,lig_10358-1,-5.51,0,0.01
lig_4-99,lig_10387-1,-6.27,0,0.01
lig_4-99,lig_10387-2,-4.94,0,0.01
lig_4-99,lig_10388-1,-1.82,0,0.01
lig_4-99,lig_1040-1,-4.58,0,0.01
lig_4-99,lig_10499-1,-2.31,0,0.01
lig_4-99,lig_10511-1,-0.53,0,0.01
lig_4-99,lig_10543-2,-0.76,0,0.01
lig_4-99,lig_10591-1,-3.92,0,0.01
lig_4-99,lig_10595-1,0.83,0,0.01
lig_4-99,lig_10597-1,-5.70,0,0.01
lig_4-99,lig_10599-1,-4.54,0,0.01
lig_4-99,lig_10599-2,-3.16,0,0.01
lig_4-99,lig_106-1,0.42,0,0.01
lig_4-99,lig_10675-1,-2.66,0,0.01
lig_4-99,lig_10677-1,-0.87,0,0.01
lig_4-99,lig_10703-1,0.82,0,0.01
lig_4-99,lig_10715-1,-0.94,0,0.01
lig_4-99,lig_10720-1,-0.64,0,0.01
lig_4-99,lig_10720-2,3.47,0,0.01
lig_4-99,lig_10748-1,-2.30,0,0.01
lig_4-99,lig_10756-1,-4.34,0,0.01
lig_4-99,lig_10756-2,-4.39,0,0.01
lig_4-99,lig_10758-1,-4.42,0,0.01
lig_4-99,lig_10774-1,-5.97,0,0.01
lig_4-99,lig_10774-2,-3.69,0,0.01
lig_4-99,lig_10775-1,-2.47,0,0.01
lig_4-99,lig_10775-2,-4.01,0,0.01
lig_4-99,lig_10776-1,-6.59,0,0.01
lig_4-99,lig_10776-3,-6.88,0,0.01
lig_4-99,lig_10776-4,-7.06,0,0.01
lig_4-99,lig_10778-1,-2.81,0,0.01
lig_4-99,lig_10778-2,-0.73,0,0.01
lig_4-99,lig_10780-1,-2.77,0,0.01
lig_4-99,lig_10823-1,-0.99,0,0.01
lig_4-99,lig_10823-2,-0.81,0,0.01
lig_4-99,lig_10834-1,-4.83,0,0.01
lig_4-99,lig_10842-1,-2.48,0,0.01
lig_4-99,lig_10844-1,-2.49,0,0.01
lig_4-99,lig_10845-1,-2.88,0,0.01
lig_4-99,lig_10855-1,0.60,0,0.01
lig_4-99,lig_10874-1,5.06,0,0.01
lig_4-99,lig_10895-2,-1.57,0,0.01
lig_4-99,lig_10908-1,-2.86,0,0.01
lig_4-99,lig_10908-2,-4.21,0,0.01
lig_4-99,lig_10909-1,-3.31,0,0.01
lig_4-99,lig_10909-2,-3.50,0,0.01
lig_4-99,lig_10910-2,-4.12,0,0.01
lig_4-99,lig_10912-1,-2.47,0,0.01
lig_4-99,lig_10913-1,-4.13,0,0.01
lig_4-99,lig_10913-2,-1.17,0,0.01
lig_4-99,lig_10936-1,-0.83,0,0.01
lig_4-99,lig_10940-1,-3.62,0,0.01
lig_4-99,lig_10942-2,-1.75,0,0.01
lig_4-99,lig_10955-1,-2.20,0,0.01
lig_4-99,lig_10958-2,-1.65,0,0.01
lig_4-99,lig_10964-1,-3.58,0,0.01
lig_4-99,lig_10967-1,-1.93,0,0.01
lig_4-99,lig_10972-1,-2.85,0,0.01
lig_4-99,lig_10982-1,-0.84,0,0.01
lig_4-99,lig_10985-2,-1.07,0,0.01
lig_4-99,lig_10985-3,-2.07,0,0.01
lig_4-99,lig_10985-4,-0.52,0,0.01
lig_4-99,lig_10988-1,-3.39,0,0.01
lig_4-99,lig_10992-1,-3.44,0,0.01
lig_4-99,lig_10997-1,0.16,0,0.01
lig_4-99,lig_10999-1,-3.49,0,0.01
lig_4-99,lig_11-1,-0.77,0,0.01
lig_4-99,lig_11002-1,-1.75,0,0.01
lig_4-99,lig_11005-1,-1.20,0,0.01
lig_4-99,lig_11008-1,-2.55,0,0.01
lig_4-99,lig_11009-1,-2.51,0,0.01
lig_4-99,lig_11012-1,-2.76,0,0.01
lig_4-99,lig_11015-1,-3.66,0,0.01
lig_4-99,lig_11016-2,0.30,0,0.01
lig_4-99,lig_11026-1,-0.73,0,0.01
lig_4-99,lig_11047-3,-3.40,0,0.01
lig_4-99,lig_11048-1,-3.05,0,0.01
lig_4-99,lig_11054-1,-2.99,0,0.01
lig_4-99,lig_11056-1,-1.41,0,0.01
lig_4-99,lig_11057-1,-4.65,0,0.01
lig_4-99,lig_11063-1,-4.31,0,0.01
lig_4-99,lig_11063-2,-5.52,0,0.01
lig_4-99,lig_11075-2,-3.53,0,0.01
lig_4-99,lig_11111-1,-3.86,0,0.01
lig_4-99,lig_11114-1,0.40,0,0.01
lig_4-99,lig_11137-1,2.80,0,0.01
lig_4-99,lig_1115-1,-3.56,0,0.01
lig_4-99,lig_1116-1,-0.71,0,0.01
