ligand	DG(MLE)	uncertainty (kcal/mol)
lig_29061-4	-3.22	0.37
lig_4-99	0.0	0.21
lig_10597-1	-2.16	0.36
lig_29062-4	-3.68	0.49
lig_31076-3	-4.77	0.67
lig_4653-1	-4.03	0.24
lig_13043-1	-1.9100000000000001	1.47
lig_22326-1	-2.7800000000000002	0.71
lig_19643-1	-1.33	0.45
lig_15710-1	-2.75	1.19
lig_35689-6	-1.34	0.46
lig_32345-1	-2.77	1.19
lig_39967-1	-1.58	1.2
lig_5518-3	-3.87	0.73
lig_28967-2	-2.3	0.44
lig_28967-3	-1.8	0.87
lig_4950-1	-3.59	0.5
lig_22930-2	-1.94	1.32
lig_22-1	-3.09	0.21
lig_7202-2	-3.42	0.57
lig_8924-1	-4.25	0.54
lig_10387-1	-3.24	1.14
lig_31007-3	-4.21	0.76
lig_16778-2	-1.32	0.52
lig_10834-1	-2.85	0.45
lig_5518-1	-3.8	0.87
lig_42638-1	-2.65	0.6
lig_40642-1	-3.92	0.41
lig_3195-1	-3.0	0.61
lig_9953-1	-2.23	0.26
lig_16249-3	-3.76	1.04
lig_10387-2	-3.12	0.85
lig_4362-1	-3.08	0.4
lig_31936-3	-4.6	0.36
lig_29608-2	-5.58	0.36
lig_42838-2	-3.91	0.4
lig_10106-8	-2.6	0.36
lig_19269-1	-3.54	0.45
lig_1710-1	-5.13	0.3
lig_10776-4	-5.23	0.26
lig_11278-2	-4.18	0.41
lig_31443-1	-2.91	0.27
lig_11937-1	-4.23	0.5
lig_5834-1	-5.1	0.39
lig_4214-1	-2.52	0.83
lig_39325-1	-3.72	0.84
lig_5035-1	-1.85	0.29
lig_2349-1	-3.24	0.55
lig_18506-4	-3.27	0.41
lig_1373-1	-3.32	0.46
lig_31004-4	-4.32	0.45
lig_9790-1	-3.56	0.31
lig_20061-3	-4.22	0.35
lig_39115-1	-3.98	0.63
lig_2114-1	-3.56	0.28
lig_28964-2	-1.58	0.35
lig_37891-3	-3.75	0.46
lig_4798-1	-3.4	0.73
lig_23856-1	-3.29	0.53
lig_11063-2	-2.17	0.57
lig_42060-1	-2.5300000000000002	0.88
lig_27585-1	-2.39	0.26
lig_13888-4	-5.21	0.7
lig_10774-1	-4.08	0.45
lig_40894-1	-4.37	0.56
lig_4948-1	-3.75	0.36
lig_5877-1	-4.73	0.47
lig_10776-1	-4.23	0.52
lig_5737-2	-2.7	0.25
lig_10776-3	-4.51	0.25
lig_5886-1	-4.97	1.4
lig_8924-3	-4.5600000000000005	0.47
lig_11262-1	-4.08	0.39
lig_25532-2	-4.67	0.51
lig_29059-4	-5.25	0.39
lig_20057-1	-3.72	0.67
lig_14458-1	-3.16	0.55
lig_20763-3	-3.76	0.53
lig_5518-4	-3.69	0.32
lig_10117-1	-4.12	0.72
lig_45112-1	-2.38	0.6
lig_33140-1	-1.71	0.56
lig_2025-1	-0.3500000000000001	0.85
lig_41520-2	-0.71	0.61
lig_5688-1	-2.64	0.32
lig_39107-1	-5.87	0.97
lig_16174-1	-3.36	0.41
lig_22529-1	-2.74	0.89
lig_31007-4	-4.640000000000001	0.51
lig_18304-1	-3.32	0.22
lig_11223-1	-3.14	0.32
lig_23270-1	-1.71	0.52
lig_10358-1	-3.15	0.33
lig_11936-2	-2.1	1.4
lig_38017-1	-4.33	0.71
lig_8899-1	-2.48	2.05
lig_39207-1	-2.99	0.93
lig_1427-2	-2.68	0.63
lig_8924-2	-2.45	0.64
